row_number,field_name,error_code,error_message,order_id
68,Email_Address,MISSING_FIELD,Email field 'Email_Address' is empty,Row 68
68,Phone_Number,MISSING_FIELD,Phone field 'Phone_Number' is empty,Row 68
68,Registration_Date,MISSING_FIELD,Date field 'Registration_Date' is empty,Row 68
70,Email_Address,MISSING_FIELD,Email field 'Email_Address' is empty,Row 70
70,Phone_Number,INVALID_PHONE,Phone length (0) falls outside fallback range of 7-15 digits.,Row 70
70,Registration_Date,MISSING_FIELD,Date field 'Registration_Date' is empty,Row 70
71,Email_Address,MISSING_FIELD,Email field 'Email_Address' is empty,Row 71
71,Phone_Number,MISSING_FIELD,Phone field 'Phone_Number' is empty,Row 71
71,Registration_Date,INVALID_DATE,Date '32/13/2025' in 'Registration_Date' is invalid.,Row 71
79,Email_Address,MISSING_FIELD,Email field 'Email_Address' is empty,Row 79
79,Phone_Number,MISSING_FIELD,Phone field 'Phone_Number' is empty,Row 79
79,Registration_Date,MISSING_FIELD,Date field 'Registration_Date' is empty,Row 79
87,Email_Address,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 87
87,Phone_Number,INVALID_PHONE,Phone length (4) falls outside fallback range of 7-15 digits.,Row 87
87,Registration_Date,INVALID_DATE,Date '2025-99-99' in 'Registration_Date' is invalid.,Row 87
92,Email_Address,MISSING_FIELD,Email field 'Email_Address' is empty,Row 92
92,Phone_Number,MISSING_FIELD,Phone field 'Phone_Number' is empty,Row 92
92,Registration_Date,INVALID_DATE,Date '32/13/2025' in 'Registration_Date' is invalid.,Row 92
93,Email_Address,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 93
93,Phone_Number,MISSING_FIELD,Phone field 'Phone_Number' is empty,Row 93
93,Registration_Date,INVALID_DATE,Date '32/13/2025' in 'Registration_Date' is invalid.,Row 93
96,Email_Address,MISSING_FIELD,Email field 'Email_Address' is empty,Row 96
96,Phone_Number,MISSING_FIELD,Phone field 'Phone_Number' is empty,Row 96
96,Registration_Date,MISSING_FIELD,Date field 'Registration_Date' is empty,Row 96
99,Email_Address,INVALID_EMAIL,Email 'invalid-email' is invalid. Must end with .com.,Row 99
99,Phone_Number,MISSING_FIELD,Phone field 'Phone_Number' is empty,Row 99
99,Registration_Date,MISSING_FIELD,Date field 'Registration_Date' is empty,Row 99
