row_number,field_name,error_code,error_message,order_id
73,Hire_Date,INVALID_DATE,Date '2024-99-99' in 'Hire_Date' is invalid.,Row 73
74,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 74
74,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 74
75,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 75
75,Hire_Date,INVALID_DATE,Date '32/13/2024' in 'Hire_Date' is invalid.,Row 75
76,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 76
76,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 76
76,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 76
77,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 77
77,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 77
77,Hire_Date,INVALID_DATE,Date '32/13/2024' in 'Hire_Date' is invalid.,Row 77
78,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 78
78,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 78
78,Hire_Date,INVALID_DATE,Date '2024-99-99' in 'Hire_Date' is invalid.,Row 78
79,Work_Email,INVALID_EMAIL,Email 'invalid-email' is invalid. Must end with .com.,Row 79
79,Hire_Date,INVALID_DATE,Date '2024-99-99' in 'Hire_Date' is invalid.,Row 79
80,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 80
80,Work_Email,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 80
80,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 80
81,Work_Email,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 81
81,Hire_Date,INVALID_DATE,Date '32/13/2024' in 'Hire_Date' is invalid.,Row 81
82,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 82
82,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 82
82,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 82
83,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 83
83,Hire_Date,INVALID_DATE,Date '32/13/2024' in 'Hire_Date' is invalid.,Row 83
84,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 84
84,Work_Email,INVALID_EMAIL,Email 'invalid-email' is invalid. Must end with .com.,Row 84
84,Hire_Date,INVALID_DATE,Date '32/13/2024' in 'Hire_Date' is invalid.,Row 84
85,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 85
85,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 85
85,Hire_Date,INVALID_DATE,Date '32/13/2024' in 'Hire_Date' is invalid.,Row 85
86,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 86
86,Work_Email,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 86
86,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 86
87,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 87
87,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 87
87,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 87
88,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 88
88,Work_Email,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 88
88,Hire_Date,INVALID_DATE,Date '2024-99-99' in 'Hire_Date' is invalid.,Row 88
89,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 89
89,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 89
89,Hire_Date,INVALID_DATE,Date '32/13/2024' in 'Hire_Date' is invalid.,Row 89
90,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 90
90,Work_Email,INVALID_EMAIL,Email 'invalid-email' is invalid. Must end with .com.,Row 90
90,Hire_Date,INVALID_DATE,Date '2024-99-99' in 'Hire_Date' is invalid.,Row 90
91,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 91
91,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 91
92,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 92
92,Hire_Date,INVALID_DATE,Date '32/13/2024' in 'Hire_Date' is invalid.,Row 92
93,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 93
93,Work_Email,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 93
93,Hire_Date,INVALID_DATE,Date '2024-99-99' in 'Hire_Date' is invalid.,Row 93
94,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 94
94,Work_Email,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 94
94,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 94
95,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 95
95,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 95
96,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 96
96,Work_Email,INVALID_EMAIL,Email 'invalid-email' is invalid. Must end with .com.,Row 96
96,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 96
97,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 97
97,Work_Email,INVALID_EMAIL,Email 'user@' is invalid. Must end with .com.,Row 97
97,Hire_Date,MISSING_FIELD,Date field 'Hire_Date' is empty,Row 97
98,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 98
98,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 98
98,Hire_Date,INVALID_DATE,Date '2024-99-99' in 'Hire_Date' is invalid.,Row 98
99,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 99
99,Work_Email,INVALID_EMAIL,Email 'invalid-email' is invalid. Must end with .com.,Row 99
99,Hire_Date,INVALID_DATE,Date '2024-99-99' in 'Hire_Date' is invalid.,Row 99
100,Profile_ID,MISSING_FIELD,Identifier column 'Profile_ID' is empty,Row 100
100,Work_Email,MISSING_FIELD,Email field 'Work_Email' is empty,Row 100
100,Hire_Date,INVALID_DATE,Date '2024-99-99' in 'Hire_Date' is invalid.,Row 100
